No;Branch_Code;Original_Name;Name;Generation;Height;Weight;Type1;Type2;Ability1;Ability2;Ability_Hidden;Color;Gender_Male;Gender_Female;Gender_Unknown;Egg_Steps;Egg_Group1;Egg_Group2;Get_Rate;Base_Experience;Experience_Type;Category;Mechanic;Region_Form;HP;Attack;Defense;SP_Attack;SP_Defense;Speed;Total;E_HP;E_Attack;E_Defense;E_SP_Attack;E_SP_Defense;E_Speed;Set;Card_Number;Have
260;260_0;Swampert;Swampert;3;1.5;81.9;Water;Ground;Torrent;;Damp;Blue;87.5;12.5;0;20;Monster;Water1;45;268;1059860;Ordinary;;;100;110;90;85;90;60;535;0;3;0;0;0;0;EX Ruby & Sapphire;13;x
260;260_1;Swampert;Mega Swampert;3;1.9;102;Water;Ground;Swift Swim;;;Blue;87.5;12.5;0;20;Monster;Water1;45;286;1059860;Ordinary;Mega;;100;150;110;95;110;70;635;0;3;0;0;0;0;XY Black Star Promos;XY87;
261;261_0;Poochyena;Poochyena;3;0.5;13.6;Dark;;Run Away;Quick Feet;Rattled;Gray;50;50;0;15;Ground;;255;56;1000000;Ordinary;;;35;55;35;30;30;35;220;0;1;0;0;0;0;EX Ruby & Sapphire;63;x
262;262_0;Mightyena;Mightyena;3;1;37;Dark;;Intimidate;Quick Feet;Moxie;Gray;50;50;0;15;Ground;;127;147;1000000;Ordinary;;;70;90;70;60;60;70;420;0;2;0;0;0;0;EX Ruby & Sapphire;42;x
263;263_1;Zigzagoon;Galarian Zigzagoon;8;0.4;17.5;Dark;Normal;Pickup;Gluttony;Quick Feet;White;50;50;0;15;Ground;;255;56;1000000;Ordinary;;Galarian;38;30;41;30;41;60;240;0;0;0;0;0;1;Sword & Shield;117;x
263;263_0;Zigzagoon;Zigzagoon;3;0.4;17.5;Normal;;Pickup;Gluttony;Quick Feet;Brown;50;50;0;15;Ground;;255;56;1000000;Ordinary;;;38;30;41;30;41;60;240;0;0;0;0;0;1;EX Ruby & Sapphire;79;x
264;264_1;Linoone;Galarian Linoone;8;0.5;32.5;Dark;Normal;Pickup;Gluttony;Quick Feet;White;50;50;0;15;Ground;;90;147;1000000;Ordinary;;Galarian;78;70;61;50;61;100;420;0;0;0;0;0;2;Sword & Shield;118;x
264;264_0;Linoone;Linoone;3;0.5;32.5;Normal;;Pickup;Gluttony;Quick Feet;White;50;50;0;15;Ground;;90;147;1000000;Ordinary;;;78;70;61;50;61;100;420;0;0;0;0;0;2;EX Ruby & Sapphire;38;x
265;265_0;Wurmple;Wurmple;3;0.3;3.6;Bug;;Shield Dust;;Run Away;Red;50;50;0;15;Bug;;255;56;1000000;Ordinary;;;45;45;35;20;30;20;195;1;0;0;0;0;0;EX Ruby & Sapphire;78;x
266;266_0;Silcoon;Silcoon;3;0.6;10;Bug;;Shed Skin;;;White;50;50;0;15;Bug;;120;72;1000000;Ordinary;;;50;35;55;25;25;15;205;0;0;2;0;0;0;EX Ruby & Sapphire;43;x
267;267_0;Beautifly;Beautifly;3;1;28.4;Bug;Flying;Swarm;;Rivalry;Yellow;50;50;0;15;Bug;;45;178;1000000;Ordinary;;;60;70;50;100;50;65;395;0;0;0;3;0;0;EX Ruby & Sapphire;2;
268;268_0;Cascoon;Cascoon;3;0.7;11.5;Bug;;Shed Skin;;;Purple;50;50;0;15;Bug;;120;72;1000000;Ordinary;;;50;35;55;25;25;15;205;0;0;2;0;0;0;EX Ruby & Sapphire;26;x
269;269_0;Dustox;Dustox;3;1.2;31.6;Bug;Poison;Shield Dust;;Compound Eyes;Green;50;50;0;15;Bug;;45;173;1000000;Ordinary;;;60;50;70;50;90;65;385;0;0;0;0;3;0;EX Ruby & Sapphire;6;x
270;270_0;Lotad;Lotad;3;0.5;2.6;Water;Grass;Swift Swim;Rain Dish;Own Tempo;Green;50;50;0;15;Water1;Grass;255;44;1059860;Ordinary;;;40;30;30;40;50;30;220;0;0;0;0;1;0;EX Sandstorm;66;x
271;271_0;Lombre;Lombre;3;1.2;32.5;Water;Grass;Swift Swim;Rain Dish;Own Tempo;Green;50;50;0;15;Water1;Grass;120;119;1059860;Ordinary;;;60;50;50;60;70;50;340;0;0;0;0;2;0;EX Sandstorm;45;x
272;272_0;Ludicolo;Ludicolo;3;1.5;55;Water;Grass;Swift Swim;Rain Dish;Own Tempo;Green;50;50;0;15;Water1;Grass;45;240;1059860;Ordinary;;;80;70;70;90;100;70;480;0;0;0;0;3;0;EX Sandstorm;7;
273;273_0;Seedot;Seedot;3;0.5;4;Grass;;Chlorophyll;Early Bird;Pickpocket;Brown;50;50;0;15;Ground;Grass;255;44;1059860;Ordinary;;;40;40;50;30;30;30;220;0;0;1;0;0;0;EX Sandstorm;77;x
274;274_0;Nuzleaf;Nuzleaf;3;1;28;Grass;Dark;Chlorophyll;Early Bird;Pickpocket;Brown;50;50;0;15;Ground;Grass;120;119;1059860;Ordinary;;;70;70;40;60;40;60;340;0;2;0;0;0;0;EX Sandstorm;49;x
275;275_0;Shiftry;Shiftry;3;1.3;59.6;Grass;Dark;Chlorophyll;Early Bird;Pickpocket;Brown;50;50;0;15;Ground;Grass;45;240;1059860;Ordinary;;;90;100;60;90;60;80;480;0;3;0;0;0;0;EX Sandstorm;22;x
276;276_0;Taillow;Taillow;3;0.3;2.3;Normal;Flying;Guts;;Scrappy;Blue;50;50;0;15;Flying;;200;54;1059860;Ordinary;;;40;55;30;30;30;85;270;0;0;0;0;0;1;EX Ruby & Sapphire;72;x
277;277_0;Swellow;Swellow;3;0.7;19.8;Normal;Flying;Guts;;Scrappy;Blue;50;50;0;15;Flying;;45;159;1059860;Ordinary;;;60;85;60;75;50;125;455;0;0;0;0;0;2;EX Ruby & Sapphire;46;x
278;278_0;Wingull;Wingull;3;0.6;9.5;Water;Flying;Keen Eye;Hydration;Rain Dish;White;50;50;0;20;Water1;Flying;190;54;1000000;Ordinary;;;40;30;30;55;30;85;270;0;0;0;0;0;1;EX Ruby & Sapphire;77;x
279;279_0;Pelipper;Pelipper;3;1.2;28;Water;Flying;Keen Eye;Drizzle;Rain Dish;Yellow;50;50;0;20;Water1;Flying;45;154;1000000;Ordinary;;;60;50;100;95;70;65;440;0;0;2;0;0;0;EX Ruby & Sapphire;19;x
280;280_0;Ralts;Ralts;3;0.4;6.6;Psychic;Fairy;Synchronize;Trace;Telepathy;White;50;50;0;20;Human-Like;Amorphous;235;40;1250000;Ordinary;;;28;25;25;45;35;40;198;0;0;0;1;0;0;EX Ruby & Sapphire;67;x
281;281_0;Kirlia;Kirlia;3;0.8;20.2;Psychic;Fairy;Synchronize;Trace;Telepathy;White;50;50;0;20;Human-Like;Amorphous;120;97;1250000;Ordinary;;;38;35;35;65;55;50;278;0;0;0;2;0;0;EX Ruby & Sapphire;35;x
282;282_0;Gardevoir;Gardevoir;3;1.6;48.4;Psychic;Fairy;Synchronize;Trace;Telepathy;White;50;50;0;20;Human-Like;Amorphous;45;259;1250000;Ordinary;;;68;65;65;125;115;80;518;0;0;0;3;0;0;EX Ruby & Sapphire;7;
282;282_1;Gardevoir;Mega Gardevoir;3;1.6;48.4;Psychic;Fairy;Pixilate;;;White;50;50;0;20;Amorphous;;45;278;1250000;Ordinary;Mega;;68;85;65;165;135;100;618;0;0;0;3;0;0;Mega Evolution;60;x
283;283_0;Surskit;Surskit;3;0.5;1.7;Bug;Water;Swift Swim;;Rain Dish;Blue;50;50;0;15;Water1;Bug;200;54;1000000;Ordinary;;;40;30;32;50;52;65;269;0;0;0;0;0;1;EX Hidden Legends;76;x
284;284_0;Masquerain;Masquerain;3;0.8;3.6;Bug;Flying;Intimidate;;Unnerve;Blue;50;50;0;15;Water1;Bug;75;159;1000000;Ordinary;;;70;60;62;100;82;80;454;0;0;0;1;1;0;EX Hidden Legends;20;x
285;285_0;Shroomish;Shroomish;3;0.4;4.5;Grass;;Effect Spore;Poison Heal;Quick Feet;Brown;50;50;0;15;Fairy;Grass;255;59;1640000;Ordinary;;;60;40;60;40;60;35;295;1;0;0;0;0;0;EX Ruby & Sapphire;69;x
286;286_0;Breloom;Breloom;3;1.2;39.2;Grass;Fighting;Effect Spore;Poison Heal;Technician;Green;50;50;0;15;Fairy;Grass;90;161;1640000;Ordinary;;;60;130;80;60;60;70;460;0;2;0;0;0;0;EX Ruby & Sapphire;16;x
287;287_0;Slakoth;Slakoth;3;0.8;24;Normal;;Truant;;;Brown;50;50;0;15;Ground;;255;56;1250000;Ordinary;;;60;60;60;35;35;30;280;1;0;0;0;0;0;EX Ruby & Sapphire;45;x
288;288_0;Vigoroth;Vigoroth;3;1.4;46.5;Normal;;Vital Spirit;;;White;50;50;0;15;Ground;;120;154;1250000;Ordinary;;;80;80;80;55;55;90;440;0;0;0;0;0;2;EX Ruby & Sapphire;47;x
289;289_0;Slaking;Slaking;3;2;130.5;Normal;;Truant;;;Brown;50;50;0;15;Ground;;45;285;1250000;Ordinary;;;150;160;100;95;65;100;670;3;0;0;0;0;0;EX Ruby & Sapphire;12;x
290;290_0;Nincada;Nincada;3;0.5;5.5;Bug;Ground;Compound Eyes;;Run Away;Gray;50;50;0;15;Bug;;255;53;600000;Ordinary;;;31;45;90;30;30;40;266;0;0;1;0;0;0;EX Dragon;66;x
291;291_0;Ninjask;Ninjask;3;0.8;12;Bug;Flying;Speed Boost;;Infiltrator;Yellow;50;50;0;15;Bug;;120;160;600000;Ordinary;;;61;90;45;50;50;160;456;0;0;0;0;0;2;EX Dragon;18;x
292;292_0;Shedinja;Shedinja;3;0.8;1.2;Bug;Ghost;Wonder Guard;;;Brown;0;0;100;15;Mineral;;45;83;600000;Ordinary;;;1;90;45;30;30;40;236;2;0;0;0;0;0;EX Dragon;11;x
293;293_0;Whismur;Whismur;3;0.6;16.3;Normal;;Soundproof;;Rattled;Pink;50;50;0;20;Monster;Ground;190;48;1059860;Ordinary;;;64;51;23;51;23;28;240;1;0;0;0;0;0;EX Hidden Legends;82;x
294;294_0;Loudred;Loudred;3;1;40.5;Normal;;Soundproof;;Scrappy;Blue;50;50;0;20;Monster;Ground;120;126;1059860;Ordinary;;;84;71;43;71;43;48;360;2;0;0;0;0;0;EX Hidden Legends;39;x
295;295_0;Exploud;Exploud;3;1.5;84;Normal;;Soundproof;;Scrappy;Blue;50;50;0;20;Monster;Ground;45;245;1059860;Ordinary;;;104;91;63;91;73;68;490;3;0;0;0;0;0;EX Hidden Legends;6;
296;296_0;Makuhita;Makuhita;3;1;86.4;Fighting;;Thick Fat;Guts;Sheer Force;Yellow;75;25;0;20;Human-Like;;180;47;1640000;Ordinary;;;72;60;30;20;30;25;237;1;0;0;0;0;0;EX Ruby & Sapphire;56;x
297;297_0;Hariyama;Hariyama;3;2.3;253.8;Fighting;;Thick Fat;Guts;Sheer Force;Brown;75;25;0;20;Human-Like;;200;166;1640000;Ordinary;;;144;120;60;40;60;50;474;2;0;0;0;0;0;EX Ruby & Sapphire;33;x
298;298_0;Azurill;Azurill;3;0.2;2;Normal;Fairy;Thick Fat;Huge Power;Sap Sipper;Blue;25;75;0;10;Undiscovered;;150;38;800000;Ordinary;;;50;20;40;20;40;20;190;1;0;0;0;0;0;EX Sandstorm;31;x
299;299_0;Nosepass;Nosepass;3;1;97;Rock;;Sturdy;Magnet Pull;Sand Force;Gray;50;50;0;20;Mineral;;255;75;1000000;Ordinary;;;30;45;135;45;90;30;375;0;0;1;0;0;0;EX Ruby & Sapphire;18;x
300;300_0;Skitty;Skitty;3;0.6;11;Normal;;Cute Charm;Normalize;Wonder Skin;Pink;25;75;0;15;Ground;Fairy;255;52;800000;Ordinary;;;50;45;45;35;35;50;260;0;0;0;0;0;1;EX Ruby & Sapphire;44;x
301;301_0;Delcatty;Delcatty;3;1.1;32.6;Normal;;Cute Charm;Normalize;Wonder Skin;Purple;25;75;0;15;Ground;Fairy;60;140;800000;Ordinary;;;70;65;65;55;55;90;400;1;0;0;0;0;1;EX Ruby & Sapphire;29;x
302;302_0;Sableye;Sableye;3;0.5;11;Dark;Ghost;Keen Eye;Stall;Prankster;Purple;50;50;0;25;Human-Like;;45;133;1059860;Ordinary;;;50;75;75;65;65;50;380;0;1;1;0;0;0;EX Sandstorm;10;x
302;302_1;Sableye;Mega Sableye;3;0.5;161;Dark;Ghost;Magic Bounce;;;Purple;50;50;0;25;Human-Like;;45;168;1059860;Ordinary;Mega;;50;85;125;85;115;20;480;0;1;1;0;0;0;SM Unified Minds;126;x
303;303_0;Mawile;Mawile;3;0.6;11.5;Steel;Fairy;Hyper Cutter;Intimidate;Sheer Force;Black;50;50;0;20;Ground;Fairy;45;133;800000;Ordinary;;;50;85;85;55;55;50;380;0;1;1;0;0;0;EX Sandstorm;9;x
303;303_1;Mawile;Mega Mawile;3;1;23.5;Steel;Fairy;Huge Power;;;Black;50;50;0;20;Ground;Fairy;45;168;800000;Ordinary;Mega;;50;105;125;55;95;50;480;0;1;1;0;0;0;Mega Evolution;94;x
304;304_0;Aron;Aron;3;0.4;60;Steel;Rock;Sturdy;Rock Head;Heavy Metal;Gray;50;50;0;35;Monster;;180;66;1250000;Ordinary;;;50;70;100;40;40;30;330;0;0;1;0;0;0;EX Ruby & Sapphire;49;
305;305_0;Lairon;Lairon;3;0.9;120;Steel;Rock;Sturdy;Rock Head;Heavy Metal;Gray;50;50;0;35;Monster;;90;151;1250000;Ordinary;;;60;90;140;50;50;40;430;0;0;2;0;0;0;EX Ruby & Sapphire;37;x
306;306_1;Aggron;Mega Aggron;3;2.2;395;Steel;;Filter;;;Gray;50;50;0;35;Monster;;45;284;1250000;Ordinary;Mega;;70;140;230;60;80;50;630;0;0;3;0;0;0;XY Primal Clash;94;
306;306_0;Aggron;Aggron;3;2.1;360;Steel;Rock;Sturdy;Rock Head;Heavy Metal;Gray;50;50;0;35;Monster;;45;265;1250000;Ordinary;;;70;110;180;60;60;50;530;0;0;3;0;0;0;EX Ruby & Sapphire;1;x
307;307_0;Meditite;Meditite;3;0.6;11.2;Fighting;Psychic;Pure Power;;Telepathy;Blue;50;50;0;20;Human-Like;;180;56;1000000;Ordinary;;;30;40;55;40;55;60;280;0;0;0;0;0;1;EX Hidden Legends;66;x
308;308_0;Medicham;Medicham;3;1.3;31.5;Fighting;Psychic;Pure Power;;Telepathy;Red;50;50;0;20;Human-Like;;90;144;1000000;Ordinary;;;60;60;75;60;75;80;410;0;0;0;0;0;2;EX Hidden Legends;10;x
308;308_1;Medicham;Mega Medicham;3;1.3;31.5;Fighting;Psychic;Pure Power;;;Red;50;50;0;20;Human-Like;;90;179;1000000;Ordinary;Mega;;60;100;85;80;85;100;510;0;0;0;0;0;2;;;
309;309_0;Electrike;Electrike;3;0.6;15.2;Electric;;Static;Lightning Rod;Minus;Green;50;50;0;20;Ground;;120;59;1250000;Ordinary;;;40;45;40;65;40;65;295;0;0;0;0;0;1;EX Ruby & Sapphire;30;x
310;310_0;Manectric;Manectric;3;1.5;40.2;Electric;;Static;Lightning Rod;Minus;Yellow;50;50;0;20;Ground;;45;166;1250000;Ordinary;;;70;75;60;105;60;105;475;0;0;0;0;0;2;EX Ruby & Sapphire;39;x
310;310_1;Manectric;Mega Manectric;3;1.8;44;Electric;;Intimidate;;;Yellow;50;50;0;20;Ground;;45;201;1250000;Ordinary;Mega;;70;75;80;135;80;135;575;0;0;0;0;0;2;Mega Evolution;50;x
311;311_0;Plusle;Plusle;3;0.4;4.2;Electric;;Plus;;Lightning Rod;Yellow;50;50;0;20;Fairy;;200;142;1000000;Ordinary;;;60;50;40;85;75;95;405;0;0;0;0;0;1;EX Dragon;8;
312;312_0;Minun;Minun;3;0.4;4.2;Electric;;Minus;;Volt Absorb;Yellow;50;50;0;20;Fairy;;200;142;1000000;Ordinary;;;60;40;50;75;85;95;405;0;0;0;0;0;1;EX Dragon;7;x
313;313_0;Volbeat;Volbeat;3;0.7;17.7;Bug;;Illuminate;Swarm;Prankster;Gray;100;0;0;15;Bug;Human-Like;150;151;600000;Ordinary;;;65;73;75;47;85;85;430;0;0;0;0;0;1;EX Sandstorm;53;x
314;314_0;Illumise;Illumise;3;0.6;17.7;Bug;;Oblivious;Tinted Lens;Prankster;Purple;0;100;0;15;Bug;Human-Like;150;151;1640000;Ordinary;;;65;47;75;73;85;85;430;0;0;0;0;0;1;EX Sandstorm;38;x
315;315_0;Roselia;Roselia;3;0.3;2;Grass;Poison;Natural Cure;Poison Point;Leaf Guard;Green;50;50;0;20;Fairy;Grass;150;140;1059860;Ordinary;;;50;60;45;100;80;65;400;0;0;0;2;0;0;EX Dragon;9;x
316;316_0;Gulpin;Gulpin;3;0.4;10.3;Poison;;Liquid Ooze;Sticky Hold;Gluttony;Green;50;50;0;20;Amorphous;;225;60;1640000;Ordinary;;;70;43;53;43;53;40;302;1;0;0;0;0;0;EX Hidden Legends;62;x
317;317_0;Swalot;Swalot;3;1.7;80;Poison;;Liquid Ooze;Sticky Hold;Gluttony;Purple;50;50;0;20;Amorphous;;75;163;1640000;Ordinary;;;100;73;83;73;83;55;467;2;0;0;0;0;0;EX Hidden Legends;50;
318;318_0;Carvanha;Carvanha;3;0.8;20.8;Water;Dark;Rough Skin;;Speed Boost;Red;50;50;0;20;Water2;;225;61;1250000;Ordinary;;;45;90;20;65;20;65;305;0;1;0;0;0;0;EX Ruby & Sapphire;51;x
319;319_0;Sharpedo;Sharpedo;3;1.8;88.8;Water;Dark;Rough Skin;;Speed Boost;Blue;50;50;0;20;Water2;;60;161;1250000;Ordinary;;;70;120;40;95;40;95;460;0;2;0;0;0;0;EX Ruby & Sapphire;22;x
319;319_1;Sharpedo;Mega Sharpedo;3;2.5;130.3;Water;Dark;Strong Jaw;;;Blue;50;50;0;20;Water2;;60;196;1250000;Ordinary;Mega;;70;140;70;110;65;105;560;0;2;0;0;0;0;ME Phantasmal Flames;127;
320;320_0;Wailmer;Wailmer;3;2;130;Water;;Water Veil;Oblivious;Pressure;Blue;50;50;0;40;Ground;Water2;125;80;1640000;Ordinary;;;130;70;35;70;35;60;400;1;0;0;0;0;0;EX Ruby & Sapphire;48;x
321;321_0;Wailord;Wailord;3;14.5;398;Water;;Water Veil;Oblivious;Pressure;Blue;50;50;0;40;Ground;Water2;60;175;1640000;Ordinary;;;170;90;45;90;45;60;500;2;0;0;0;0;0;EX Ruby & Sapphire;14;x
322;322_0;Numel;Numel;3;0.7;24;Fire;Ground;Oblivious;Simple;Own Tempo;Yellow;50;50;0;20;Ground;;255;61;1000000;Ordinary;;;60;60;40;65;45;35;305;0;0;0;1;0;0;EX Ruby & Sapphire;61;x
323;323_1;Camerupt;Mega Camerupt;3;2.5;320.5;Fire;Ground;Sheer Force;;;Red;50;50;0;20;Ground;;150;196;1000000;Ordinary;Mega;;70;120;100;145;105;20;560;0;1;0;1;0;0;Mega Evolution;22;x
323;323_0;Camerupt;Camerupt;3;1.9;220;Fire;Ground;Magma Armor;Solid Rock;Anger Point;Red;50;50;0;20;Ground;;150;161;1000000;Ordinary;;;70;100;70;105;75;40;460;0;1;0;1;0;0;EX Ruby & Sapphire;4;x
324;324_0;Torkoal;Torkoal;3;0.5;80.4;Fire;;White Smoke;Drought;Shell Armor;Brown;50;50;0;20;Ground;;90;165;1000000;Ordinary;;;70;85;140;85;70;20;470;0;0;2;0;0;0;EX Dragon;12;x
325;325_0;Spoink;Spoink;3;0.7;30.6;Psychic;;Thick Fat;Own Tempo;Gluttony;Black;50;50;0;20;Ground;;255;66;800000;Ordinary;;;60;25;35;70;80;60;330;0;0;0;0;1;0;EX Dragon;73;x
326;326_0;Grumpig;Grumpig;3;0.9;71.5;Psychic;;Thick Fat;Own Tempo;Gluttony;Purple;50;50;0;20;Ground;;60;165;800000;Ordinary;;;80;45;65;90;110;80;470;0;0;0;0;2;0;EX Dragon;6;x
327;327_0;Spinda;Spinda;3;1.1;5;Normal;;Own Tempo;Tangled Feet;Contrary;Brown;50;50;0;15;Ground;Human-Like;255;126;800000;Ordinary;;;60;60;60;60;60;60;360;0;0;0;1;0;0;EX Hidden Legends;48;
328;328_0;Trapinch;Trapinch;3;0.7;15;Ground;;Hyper Cutter;Arena Trap;Sheer Force;Brown;50;50;0;20;Bug;Dragon;255;58;1059860;Ordinary;;;45;100;45;45;45;10;290;0;1;0;0;0;0;EX Dragon;79;x
329;329_0;Vibrava;Vibrava;3;1.1;15.3;Ground;Dragon;Levitate;;;Green;50;50;0;20;Bug;Dragon;120;119;1059860;Ordinary;;;50;70;50;50;50;70;340;0;1;0;0;0;1;EX Dragon;22;x
330;330_0;Flygon;Flygon;3;2;82;Ground;Dragon;Levitate;;;Green;50;50;0;20;Bug;Dragon;45;260;1059860;Ordinary;;;80;100;80;80;80;100;520;0;1;0;0;0;2;EX Dragon;15;x
331;331_0;Cacnea;Cacnea;3;0.4;51.3;Grass;;Sand Veil;;Water Absorb;Green;50;50;0;20;Grass;Human-Like;190;67;1059860;Ordinary;;;50;85;40;85;40;35;335;0;0;0;1;0;0;EX Sandstorm;57;x
332;332_0;Cacturne;Cacturne;3;1.3;77.4;Grass;Dark;Sand Veil;;Water Absorb;Green;50;50;0;20;Grass;Human-Like;60;166;1059860;Ordinary;;;70;115;60;115;60;55;475;0;1;0;1;0;0;EX Sandstorm;2;
333;333_0;Swablu;Swablu;3;0.4;1.2;Normal;Flying;Natural Cure;;Cloud Nine;Blue;50;50;0;20;Flying;Dragon;255;62;600000;Ordinary;;;45;40;60;40;75;50;310;0;0;0;0;1;0;EX Dragon;75;x
334;334_1;Altaria;Mega Altaria;3;1.5;20.6;Dragon;Fairy;Pixilate;;;Blue;50;50;0;20;Flying;Dragon;45;207;600000;Ordinary;Mega;;75;110;110;110;105;80;590;0;0;0;0;2;0;XY Fates Collide;69;
334;334_0;Altaria;Altaria;3;1.1;20.6;Dragon;Flying;Natural Cure;;Cloud Nine;Blue;50;50;0;20;Flying;Dragon;45;172;600000;Ordinary;;;75;70;90;70;105;80;490;0;0;0;0;2;0;EX Dragon;2;
335;335_0;Zangoose;Zangoose;3;1.3;40.3;Normal;;Immunity;;Toxic Boost;White;50;50;0;20;Ground;;90;160;600000;Ordinary;;;73;115;60;60;60;90;458;0;2;0;0;0;0;EX Sandstorm;14;
336;336_0;Seviper;Seviper;3;2.7;52.5;Poison;;Shed Skin;;Infiltrator;Black;50;50;0;20;Ground;Dragon;90;160;1640000;Ordinary;;;73;100;60;100;60;65;458;0;1;0;1;0;0;EX Sandstorm;11;
337;337_0;Lunatone;Lunatone;3;1;168;Rock;Psychic;Levitate;;;Yellow;0;0;100;25;Mineral;;45;161;800000;Ordinary;;;90;55;65;95;85;70;460;0;0;0;2;0;0;EX Sandstorm;8;
338;338_0;Solrock;Solrock;3;1.2;154;Rock;Psychic;Levitate;;;Red;0;0;100;25;Mineral;;45;161;800000;Ordinary;;;90;95;85;55;65;70;460;0;2;0;0;0;0;EX Sandstorm;13;x
339;339_0;Barboach;Barboach;3;0.4;1.9;Water;Ground;Oblivious;Anticipation;Hydration;Gray;50;50;0;20;Water2;;190;58;1000000;Ordinary;;;50;48;43;46;41;60;288;1;0;0;0;0;0;EX Dragon;51;x
340;340_0;Whiscash;Whiscash;3;0.9;23.6;Water;Ground;Oblivious;Anticipation;Hydration;Blue;50;50;0;20;Water2;;75;164;1000000;Ordinary;;;110;78;73;76;71;60;468;2;0;0;0;0;0;EX Dragon;48;x
341;341_0;Corphish;Corphish;3;0.6;11.5;Water;;Hyper Cutter;Shell Armor;Adaptability;Red;50;50;0;15;Water1;Water3;205;62;1640000;Ordinary;;;43;80;65;50;35;35;308;0;1;0;0;0;0;EX Dragon;53;x
342;342_0;Crawdaunt;Crawdaunt;3;1.1;32.8;Water;Dark;Hyper Cutter;Shell Armor;Adaptability;Red;50;50;0;15;Water1;Water3;155;164;1640000;Ordinary;;;63;120;85;90;55;55;468;0;2;0;0;0;0;EX Dragon;13;x
343;343_0;Baltoy;Baltoy;3;0.5;21.5;Ground;Psychic;Levitate;;;Brown;0;0;100;20;Mineral;;255;60;1000000;Ordinary;;;40;40;55;40;70;55;300;0;0;0;0;1;0;EX Hidden Legends;52;x
344;344_0;Claydol;Claydol;3;1.5;108;Ground;Psychic;Levitate;;;Black;0;0;100;20;Mineral;;90;175;1000000;Ordinary;;;60;70;105;70;120;75;500;0;0;0;0;2;0;EX Hidden Legends;2;x
345;345_0;Lileep;Lileep;3;1;23.8;Rock;Grass;Suction Cups;;Storm Drain;Purple;87.5;12.5;0;30;Water3;;45;71;600000;Ordinary;;;66;41;77;61;87;23;355;0;0;0;0;1;0;EX Sandstorm;42;x
346;346_0;Cradily;Cradily;3;1.5;60.4;Rock;Grass;Suction Cups;;Storm Drain;Green;87.5;12.5;0;30;Water3;;45;173;600000;Ordinary;;;86;81;97;81;107;43;495;0;0;0;0;2;0;EX Sandstorm;3;x
347;347_0;Anorith;Anorith;3;0.7;12.5;Rock;Bug;Battle Armor;;Swift Swim;Gray;87.5;12.5;0;30;Water3;;45;71;600000;Ordinary;;;45;95;50;40;50;75;355;0;1;0;0;0;0;EX Sandstorm;27;x
348;348_0;Armaldo;Armaldo;3;1.5;68.2;Rock;Bug;Battle Armor;;Swift Swim;Gray;87.5;12.5;0;30;Water3;;45;173;600000;Ordinary;;;75;125;100;70;80;45;495;0;2;0;0;0;0;EX Sandstorm;1;x
349;349_0;Feebas;Feebas;3;0.6;7.4;Water;;Swift Swim;Oblivious;Adaptability;Brown;50;50;0;20;Water1;Dragon;255;40;600000;Ordinary;;;20;15;20;10;55;80;200;0;0;0;0;0;1;EX Hidden Legends;61;x
350;350_0;Milotic;Milotic;3;6.2;162;Water;;Marvel Scale;Competitive;Cute Charm;Pink;50;50;0;20;Water1;Dragon;60;189;600000;Ordinary;;;95;60;79;100;125;81;540;0;0;0;0;2;0;EX Hidden Legends;12;x
351;351_0;Castform;Castform;3;0.3;0.8;Normal;;Forecast;;;Gray;50;50;0;25;Fairy;Amorphous;45;147;1000000;Ordinary;;;70;70;70;70;70;70;420;1;0;0;0;0;0;EX Hidden Legends;30;x
351;351_1;Castform;Castform Sunny Form;3;0.3;0.8;Normal;;Forecast;;;Red;50;50;0;25;Fairy;Amorphous;45;147;1000000;Ordinary;;;70;70;70;70;70;70;420;1;0;0;0;0;0;EX Hidden Legends;26;x
351;351_2;Castform;Castform Rainy Form;3;0.3;0.8;Normal;;Forecast;;;Blue;50;50;0;25;Fairy;Amorphous;45;147;1000000;Ordinary;;;70;70;70;70;70;70;420;1;0;0;0;0;0;EX Hidden Legends;23;x
351;351_3;Castform;Castform Snowy Form;3;0.3;0.8;Normal;;Forecast;;;White;50;50;0;25;Fairy;Amorphous;45;147;1000000;Ordinary;;;70;70;70;70;70;70;420;1;0;0;0;0;0;EX Hidden Legends;25;x
352;352_0;Kecleon;Kecleon;3;1;22;Normal;;Color Change;;Protean;Green;50;50;0;20;Ground;;200;154;1059860;Ordinary;;;60;90;70;60;120;40;440;0;0;0;0;1;0;EX Sandstorm;18;x
353;353_0;Shuppet;Shuppet;3;0.6;2.3;Ghost;;Insomnia;Frisk;Cursed Body;Black;50;50;0;25;Amorphous;;225;59;800000;Ordinary;;;44;75;35;63;33;45;295;0;1;0;0;0;0;EX Hidden Legends;72;x
354;354_1;Banette;Mega Banette;3;1.2;13;Ghost;;Prankster;;;Black;50;50;0;25;Amorphous;;45;194;800000;Ordinary;Mega;;64;165;75;93;83;75;555;0;2;0;0;0;0;;;
354;354_0;Banette;Banette;3;1.1;12.5;Ghost;;Insomnia;Frisk;Cursed Body;Black;50;50;0;25;Amorphous;;45;159;800000;Ordinary;;;64;115;65;83;63;65;455;0;2;0;0;0;0;EX Hidden Legends;1;x
